,id,time,title,content,info,available
14,321,2018-06-02,《假面骑士》繁体中文版,您已评论，请查看如下隐藏内容哦！资源群网友分享链接：https://pan.baidu.com/s/1_hxPjw2wXAUGt1p0dciAYg  密码：ft3t󰄼 赞 34 赏󰄯 分享,格斗类,True
15,320,2018-06-02,《EA SPORTS UFC 3》美版 简体中文版,"您已评论，请查看如下隐藏内容哦！转自论坛：分享者： 金手指資源來自 PSXHAX Malatya 提取 ,純搬運https://pan.baidu.com/s/1Z8XBVwHE8qyKxp1Ew1d8aw󰄼 赞 23 赏󰄯 分享",格斗类,True
16,319,2018-06-02,《NBA 2K18》K18国行 简体中文版（含1.03补丁）,投稿，之前有问题的可以试试这个。投稿自dump NBA2K18国行，带1.03补丁您已评论，请查看如下隐藏内容哦！链接：https://pan.baidu.com/s/1hNJdgXBlDwAeKG2tmITtGw密码：nhca解压密码：NBA2K18国行压缩包里有md5文件。󰄼 赞 48 赏󰄯 分享,体育竞速,True
17,318,2018-06-02,[5.05]《最后的守护者v1.03》中文版,作者： 哈，呵，依！ 505 最后的守护者v1.03_国行中文 含补丁 自dump链接: https://pan.baidu.com/s/1asGuWz4Sm_X7BZZUBZsY0w  密码: kb7d解压密码：说ps4内置不支持3t以上硬盘的别下。,动作类,True
18,317,2018-06-02,[5.05]《泰坦之旅 10周年重制版》中文版,5.05 泰坦之旅 中文 10周年重制版 by gz死神bleach您已评论，请查看如下隐藏内容哦！系统语言设置为简体中文。安装完后进入游戏报系统存档出错，选择修复系统存档即可跳过继续游戏。链接：https://pan.baidu.com/s/1pFP_uhxulN-kT7qOUdV95g  密码：iiqs解压密码：gz死神bleach感谢死神Dump󰄼 赞 38 赏󰄯 分享,动作类,True
19,316,2018-06-02,《生化危机7 黄金版》港版 繁体中文版,您已评论，请查看如下隐藏内容哦！这里转自：晴空烈日  5.00 生化危机7黄金版 港版繁中 1.01  https://pan.baidu.com/s/107Cc3iSpogxW1FLPtRXBKQ  密码：ge1w      解压：3d眩晕7看把你们惯的，感谢原作者。󰄼 赞 115 赏󰄯 分享,动作类,True
20,315,2018-06-02,《方舟公园 VR》港版 中文版,"手机发帖凑合看吧方舟 公园VR 港版中文  实机安装测试通过链接：https://pan.baidu.com/s/1n6t2_gGuivR47w3czt7j_g  密码：5rmq本资源由四公主折腾群一剑天提供，本次不加密,请感谢每一位无私的资源提供者!",动作类,True
21,314,2018-06-01,《舞力全开 2017》和《舞力全开 2015》中文版,https://pan.baidu.com/s/1zy6TpG23rFQF8BYWyxMCcg 密码8692转自极模wakaka感谢@Quiwasinge投稿和分享。舞力全开2015国行，解压密码luoo链接:https://pan.baidu.com/s/1ExBK6TiNplJJXDOSb6l05Q  密码:wipj解压密码更新了，感谢Alvin提醒,其他类型,True
22,313,2018-06-01,[5.05]《数码宝贝故事 网络侦探 黑客的记忆》中文版,您已评论，请查看如下隐藏内容哦！链接：https://pan.baidu.com/s/1h1Um4l_ZJaszqtgU8Vxgeg  密码：6xhh感谢本站热心朋友肥肥的喵辛苦DUMP和上传。转载请注明来源：www.ksohu.com，谢谢。 英文名称：Digimon Story Cyber Sleuth - Hacker's Memory游戏原名：デジモンストーリー サイバースルゥース ハッカーズメモリー游戏语言：中文(非国行)开发厂商：BNEI发行厂商：BNEI发售日期：2017-12-14本作舞台设定与前作《数码暴龙故事 网络侦探》相同，两个故事发生在同一个世界但本作主要叙述的是“《数码暴龙故事 网络侦探》的另一面”，主人公也顺理成章地换成了新角色，因为某个犯罪事件而被卷入黑客世界的少年。角色的人设则依旧由安田典生负责。而在《数码暴龙故事 网络侦探》中的“Digi-Farm”系统将会同样出现在本作中，超过320只数码兽将会在本作中登场。󰄼 赞 19 赏󰄯 分享,角色扮演,True
23,312,2018-06-01,[5.05]《旺达与巨像》中文版,您已评论，请查看如下隐藏内容哦！链接：https://pan.baidu.com/s/161LQWnzX1TZY-g6SYEpGwg  密码：5x5k感谢本站热心朋友肥肥的喵辛苦DUMP和上传。转载请注明来源：www.ksohu.com，谢谢。英文名称：Shadow of the Colossus / Wander to Kyozou游戏原名：ワンダと巨像游戏语言：中文(非国行)开发厂商：SIE发行厂商：SIE发售日期：2018-02-06《汪达与巨像》以独特的世界观及画风深得玩家赞赏，而且故事设定亦相当不俗，主要讲述主角汪达为了令少女起死回生，于是便决定去到远古之地寻找秘术，但同时亦得知必须解决当地的巨像遗民才可做到，因此汪达便策骑爱驱与巨像展开一场又一场的大战。󰄼 赞 95 赏󰄯 分享,动作类,True
24,311,2018-06-01,[5.05]《刀剑神域 夺命凶弹》中文版,您已评论，请查看如下隐藏内容哦！链接：https://pan.baidu.com/s/1BjfpahioJrIQs45MZOJuOQ  密码：of6z感谢本站热心朋友肥肥的喵辛苦DUMP和上传。转载请注明来源：www.ksohu.com，谢谢。 英文名称：Sword Art Online - Fatal Bullet游戏原名：ソードアート オンライン フェイタル バレット游戏语言：中文(非国行)开发厂商：BNEI发行厂商：BNEI发售日期：2018-02-08《SAO 夺命凶弹》是SAO游戏系列的最新作品，这次的游戏将以原作中GGO的世界观作为基础，让玩家体验第三人称角色扮演的游戏魅力。本作采用了第三人称设计+角色扮演的游戏方式进行，玩家在游戏中将会体验到高速的射击动作战斗。在游戏中会有原作中的多种枪械登场，桐人使用的光剑也会出现。故事方面，本作会以和动画版完全不同的原创新故事展开，其中亚丝娜和莉法等角色也会登场参战。不知道原作中“DeathGun”会不会出现呢？󰄼 赞 32 赏󰄯 分享,角色扮演,True
25,310,2018-06-01,[5.05]《钠克的大冒险2》中文版,您已评论，请查看如下隐藏内容哦！https://pan.baidu.com/s/1y3LzQkL2HIsAihp0E3_dtg  密码：4iok解压密码：莱恩克斯首次DUMP密码无误，经过测试。推荐用好压解压，感谢@tamakiramimy提醒。DUMP by rainxay，感谢。英文名称：Knack 2 / Knack - Futari no Eiyuu to Kodai Heidan游戏原名：KNACK ふたりの英雄と古代兵団游戏语言：中文(非国行)开发厂商：SIE发行厂商：SIE发售日期：2017-09-05《钠克的大冒险2》是《钠克的大冒险》的后续作，《钠克的大冒险》游戏中主角钠克由巴尔加斯博士开发，负责收集文物的工作。 通常状态是70cm左右的矮人，会透过捕获文物变得更大，最高可达10米。 游戏中的主角吸收到不同的物质，发出不受属性的攻击。󰄼 赞 22 赏󰄯 分享,动作类,True
26,309,2018-06-01,[5.05]《龙之皇冠 PRO》中文版,已打1.02补丁，已测试您已评论，请查看如下隐藏内容哦！链接: https://pan.baidu.com/s/1sPozxPTCd11LdWeN96PoAQ 密码: zu2e解压密码：外星人分享者：  badboyspy javascript:;赏󰄯 分享,动作类,True
27,308,2018-06-01,[4.55]《弹丸论破1+2 重置版》中文,BY gz死神bleach系统语言选繁体，装完进游戏提示系统存档错误，跳过即可正常游戏。您已评论，请查看如下隐藏内容哦！链接：https://pan.baidu.com/s/1pCWERh_qpR6LJGnDgtDC0Q 密码：un1h解压密码：gz死神bleachjavascript:;赏󰄯 分享,其他类型,True
28,307,2018-06-01,[5.05]NBA2K18 中文版（已测试）,感谢皮皮虾投稿：我是皮皮虾 我重新分享了 您已评论，请查看如下隐藏内容哦！2k18 链接：https://pan.baidu.com/s/15wzVoCkXmIW_yMMOfAiNJA  密码：opg5 密码：皮皮虾不走了感谢哥们有酒不爱喝的反馈，有简繁中文。感谢分享，原作者联系下哈。外国网盘。2K18 USA 版本 测试安装完毕 自带中文 https://filecrypt.cc/Container/8ED83A5CD1.html 󰄼 赞 44 赏󰄯 分享,体育竞速,True
29,306,2018-06-01,[5.05]《重力晕眩2》港版繁体中文 v1.11+DLC,您已评论，请查看如下隐藏内容哦！https://pan.baidu.com/s/1gTlS7Qiq0E5ZQHNg1xbs_w  密码：udfe密码见压缩包转自:BTX，感谢分享javascript:;赏󰄯 分享,动作类,True
30,304,2018-06-01,《战地4》中文版,感谢perry83920分享！！原文：战地4中文版 没密码...自行用Winrar和7Zip解压没问题.解压后直接PKG文件.希望大家喜欢!您已评论，请查看如下隐藏内容哦！链接：https://pan.baidu.com/s/1lSs6u6n-hp4sd65b_DDhLQ  密码：FL5P󰄼 赞 73 赏󰄯 分享,射击类,True
31,303,2018-06-01,《​真三国无双7帝国》中文版,简体中文，带1.01补丁您已评论，请查看如下隐藏内容哦！链接:https://pan.baidu.com/s/1NYQocKLn91SsMY6OOzKwYw  密码:t5xu 解压密码a7254感谢a7254的分享！！󰄼 赞 9 赏󰄯 分享,角色扮演,True
32,302,2018-05-31,[5.05]《光明之响 龙奏回音》中文版,您已评论，请查看如下隐藏内容哦！链接：https://pan.baidu.com/s/1NtLS1notrQoQKQxat-j6nA  密码：siip感谢本站热心朋友肥肥的喵辛苦DUMP和上传。转载请注明来源：www.ksohu.com，谢谢。英文名称：Shining Resonance Re:frain / Shining Resonance Refrain游戏原名：シャイニング レゾナンス リフレイン游戏语言：中文(非国行)开发厂商：Sega发行厂商：Sega发售日期：2018-03-29在2014年发售并博得好评的幻想RPG《光明之响》将登陆PS4！全高清、60fps的华丽画面将带来更棒的游戏体验。同时，本作还将收录原版中多达150种以上的DLC内容，其中包含角色的EX事件、追加迷宫、服装等。这就是可体验到所有内容的决定盘《光明之响 龙奏回音》。󰄼 赞 33 赏󰄯 分享,角色扮演,True
33,301,2018-05-31,[5.05]《V！勇者别嚣张R》繁体中文版（VR）,您已评论，请查看如下隐藏内容哦！链接：https://pan.baidu.com/s/1nAbzCdDkiO2R_U7GgCNgDQ  密码：tbbq含1.01补丁。感谢本站热心朋友肥肥的喵辛苦DUMP和上传。转载请注明来源：www.ksohu.com，谢谢。 英文名称：V! Yuusha no Kuse ni Namaikida R / No Heroes Allowed! VR游戏原名：V！ 勇者のくせになまいきだ R（ぶい！ ゆうしゃのくせになまいきだ りたーん）游戏语言：英文开发厂商：Acquire发行厂商：SIE发售日期：2017-10-17游戏类型：策略类本作预计将于17年年内发售，将是PS VR的独占作品。󰄼 赞 13 赏󰄯 分享,其他类型,True
34,300,2018-05-31,《镜之边缘 催化剂》中文版,Dump BY gz死神bleach，非常感谢分享解压密码：gz死神bleach链接：https://pan.baidu.com/s/1_G4iEytwZ7wlc8h1VjzItg  密码：uwbq,动作类,True
35,299,2018-05-31,《极品飞车20》中文版（密码待确认）,极品飞车20中文版链接：https://pan.baidu.com/s/1tXpu57Kw2CJRkZ0m5lWn9Q密码：orzj  解压密码：皮皮虾不走了感谢分享！密码不对？待确认！,体育竞速,True
36,298,2018-05-31,[5.05]《隐龙传：影踪》国行简体中文,链接：https://pan.baidu.com/s/11IQjjHoxStuWAai767W68g  密码：ievqDump by 我去年买了个表哈，感谢,动作类,True
37,297,2018-05-31,[5.05]《龙之信条 黑暗再临》港版 中文版,您已评论，请查看如下隐藏内容哦！链接：https://pan.baidu.com/s/1zuZ_ujrLfZ6R_iYGlvfBJg  密码：f26q解压密码 gz死神bleachDUMP By gz死神bleach，感谢分享！󰄼 赞 34 赏󰄯 分享,角色扮演,True
38,296,2018-05-31,[4.55]《信长野望创造战国立志传》港版 中文版,您已评论，请查看如下隐藏内容哦！链接：https://pan.baidu.com/s/1Y3omMMwXuQvTIwHcyWAfxA  密码：lo4d解压密码：gz死神bleach安装完进游戏提示系统存档出错，选不修复跳过，即可正常游戏。DUMP By gz死神bleach，感谢分享！󰄼 赞 14 赏󰄯 分享,其他类型,True
39,295,2018-05-31,[5.05]《最终幻想 纷争》中文版（已发布）,您已评论，请查看如下隐藏内容哦！链接: https://pan.baidu.com/s/1J2azTHFJbQ0G6uF7s909wA 密码: 644u预告：光明之響 汪達巨像 駭客記憶（刚发完纷争的预告，就发布游戏了，有点小任性……）感谢肥肥的喵辛苦DUMP和上传。。（当然，还在DUMP和UPLOADing）转载请注明来源：谢谢。󰄼 赞 50 赏󰄯 分享,格斗类,True
40,294,2018-05-31,[5.05]《恶灵附身2》中文版,您已评论，请查看如下隐藏内容哦！https://pan.baidu.com/s/1g8_F77ZdKf70QbQD8rr9PA  密码：nl85解压密码:speedfly英文名称：The Evil Within 2 / Psycho Break 2游戏原名：サイコブレイク2游戏语言：中文(非国行)开发厂商：Tango Gameworks发行厂商：Bethesda Softworks发售日期：2017-10-13《恶灵附身2》是由日本知名游戏制作人三上真司、以及由他所带领的TangoGameworks工作室所制作的一款恐怖生存游戏。感谢热心网友留言，请原作者联系我改来源。󰄼 赞 64 赏󰄯 分享,动作类,True
41,293,2018-05-31,[5.05]《菲莉丝的工作室 不思议之旅的炼金术士》中文版,您已评论，请查看如下隐藏内容哦！链接：https://pan.baidu.com/s/1zI9FIbqhSbGdRiU8czkDAw  密码：p0j2本站热心网友肥肥的喵提供。感谢。转账请注明来源，谢谢。󰄼 赞 18 赏󰄯 分享,角色扮演,True
42,292,2018-05-31,[5.05]《刺客信条 起源》港中 ,解压密码：gz死神bleach您已评论，请查看如下隐藏内容哦！链接：https://pan.baidu.com/s/1bThGyNOg_8MhX9Nr3XB3dg  密码：n0guDUMP BY gz死神bleach，感谢分享。󰄼 赞 70 赏󰄯 分享,动作类,True
43,291,2018-05-31,《蓝色映像 幻舞少女之剑》港版 繁体中文（双DUMP）,蓝色映像 幻舞少女之剑 港版繁体中文带1.01升级补丁您已评论，请查看如下隐藏内容哦！链接：https://pan.baidu.com/s/16dokR0x7AVORx371aFAQnw  密码：lq2rDumper 老玩家75，感谢您已评论，请查看如下隐藏内容哦！本站热心网友肥肥的喵DUMP版：链接: https://pan.baidu.com/s/1v9cmsgngOnj-7Vr0ZJjpVQ  密码: sxut（单PKG下载）󰄼 赞 15 赏󰄯 分享,角色扮演,True
44,290,2018-05-31,《街头霸王30周年》中文版,您已评论，请查看如下隐藏内容哦！ https://pan.baidu.com/s/1mn1rBV6fHRQOcdhKbTTiiA备用链接：https://pan.baidu.com/s/1W6KgXxgpgrb49BFxWRuiJg  密码：3118热心网友提供，请原作者联系下修改。󰄼 赞 59 赏󰄯 分享,格斗类,False
45,289,2018-05-31,[5.05]《真三国无双8》港版 中文版 v1.04,您已评论，请查看如下隐藏内容哦！链接：https://pan.baidu.com/s/1Q4qHDj53pS7FVgTXNEzRXQ  密码：N6X1密码见网盘来源：热心网友提供。原作者架空人格。󰄼 赞 159 赏󰄯 分享,动作类,True
